"distance","cab_type","time_stamp","destination","source","price","surge_multiplier","id","product_id","name"
"2.94","Uber","1543523885298","Fenway","North Station","NULL","1","7f47ff53-7cf2-4a6a-8049-83c90e042593","8cf7e821-f0d3-49c6-8eba-e679c0ebcf6a","Taxi"
"2.94","Uber","1544789105468","Fenway","North Station","9.5","1","c05d4e09-3f00-43cf-a0d8-6f38c0f4d04a","55c66225-fbe7-4fd5-9072-eab1ece5e23e","UberX"
"2.94","Uber","1543286002090","Fenway","North Station","22","1","c7d4bb19-3c35-46c7-ad3c-f00a03ccfdfe","6c84fd89-3f11-4782-9b50-97c468b19529","Black"
"2.94","Uber","1544856310163","Fenway","North Station","9","1","d25c46f2-b8a3-454d-97d1-4e2c8e1dff68","997acbb5-e102-41e1-b155-9df7de0a73f2","UberPool"
"1.16","Uber","1544731816318","West End","North End","NULL","1","43abdbe4-ab9e-4f39-afdc-31cfa375dc25","8cf7e821-f0d3-49c6-8eba-e679c0ebcf6a","Taxi"
"1.16","Uber","1544688606983","West End","North End","9.5","1","5e1deff9-8f75-4e77-a1b1-7f6749e4eed3","9a0e7b09-b92b-4c41-9779-2ad22b4d779d","WAV"
"1.16","Uber","1543445408141","West End","North End","16.5","1","a6d2d9af-e412-4ec0-8206-88e272b5a14e","6c84fd89-3f11-4782-9b50-97c468b19529","Black"
"1.16","Uber","1544859906968","West End","North End","7","1","c53e48e4-a7b6-43e9-b4f4-afadc78dc2aa","997acbb5-e102-41e1-b155-9df7de0a73f2","UberPool"
"1.16","Uber","1543325422263","West End","North End","9.5","1","c9dee6ef-eca0-43ba-9bf9-ec00a6638164","55c66225-fbe7-4fd5-9072-eab1ece5e23e","UberX"
"1.16","Uber","1543428487883","West End","North End","27.5","1","e209499c-d217-4ea8-b72a-8a879646b29a","6d318bcc-22a3-4af6-bddd-b409bfce1546","Black SUV"
"1.16","Uber","1543474677639","West End","North End","13","1","fc3205bd-3419-40db-b00f-ddced9beff33","6f72dfc5-27f1-42e8-84db-ccc7a75f6969","UberXL"
"2.67","Uber","1545130211033","Beacon Hill","North End","9.5","1","26cd4b22-179f-48db-a03f-2cc8c87d624e","9a0e7b09-b92b-4c41-9779-2ad22b4d779d","WAV"
"2.67","Uber","1543286541956","Beacon Hill","North End","9.5","1","5ed9f6ab-4582-45c6-a1de-5602e911c3bb","55c66225-fbe7-4fd5-9072-eab1ece5e23e","UberX"
"2.67","Uber","1543583283653","Beacon Hill","North End","NULL","1","80db1c49-9d51-4575-a4f4-1ec23b4d3e31","8cf7e821-f0d3-49c6-8eba-e679c0ebcf6a","Taxi"
"3.39","Uber","1543784280319","North Station","Boston University","9.5","1","0617e9b6-45f9-4f45-aa2b-5d06da008088","9a0e7b09-b92b-4c41-9779-2ad22b4d779d","WAV"
"3.39","Uber","1544879104960","North Station","Boston University","9.5","1","37b99b0e-d2a9-4aa6-b145-54de1c8793eb","55c66225-fbe7-4fd5-9072-eab1ece5e23e","UberX"
"3.39","Uber","1543478885039","North Station","Boston University","17","1","433900c1-12d0-4771-85ea-1e1f1a4a6d63","6f72dfc5-27f1-42e8-84db-ccc7a75f6969","UberXL"
"3.39","Uber","1543360883633","North Station","Boston University","10","1","76ec209b-45a1-47e7-9eda-bc3a22402b8e","997acbb5-e102-41e1-b155-9df7de0a73f2","UberPool"
"3.39","Uber","1545002712654","North Station","Boston University","34","1","a841f68a-a00f-456a-a3f2-2a4f2f2917d6","6d318bcc-22a3-4af6-bddd-b409bfce1546","Black SUV"
"3.39","Uber","1544703016070","North Station","Boston University","26","1","aaf17c52-066b-4449-abac-274132b8ffbf","6c84fd89-3f11-4782-9b50-97c468b19529","Black"
"3.39","Uber","1543775279908","North Station","Boston University","NULL","1","c0bffbdc-9f15-4822-bda5-77d293a8d77e","8cf7e821-f0d3-49c6-8eba-e679c0ebcf6a","Taxi"
"3.39","Uber","1545081006772","North Station","Boston University","18.5","1","2effa2c2-6728-4274-b904-199a9fc830c4","6f72dfc5-27f1-42e8-84db-ccc7a75f6969","UberXL"
"3.39","Uber","1543542780768","North Station","Boston University","11","1","5ef55ad4-49da-4698-8d41-21f89d107085","997acbb5-e102-41e1-b155-9df7de0a73f2","UberPool"
"3.39","Uber","1543588980832","North Station","Boston University","11","1","67f791f9-5bf4-4490-9358-95ffda17e5ea","55c66225-fbe7-4fd5-9072-eab1ece5e23e","UberX"
"3.39","Uber","1544684707241","North Station","Boston University","NULL","1","6af89d7d-7c7e-45fe-98c4-3dc432bb29b4","8cf7e821-f0d3-49c6-8eba-e679c0ebcf6a","Taxi"
"3.39","Uber","1544832605200","North Station","Boston University","11","1","806fc0cf-814d-48aa-abe7-47d0eedf47d4","9a0e7b09-b92b-4c41-9779-2ad22b4d779d","WAV"
"3.39","Uber","1543532587413","North Station","Boston University","36","1","bcb04ae7-e199-495f-a22e-4f24dcf9088c","6d318bcc-22a3-4af6-bddd-b409bfce1546","Black SUV"
"3.39","Uber","1545036611905","North Station","Boston University","27.5","1","ef16279b-5893-4ea1-bf62-0548a6a541e7","6c84fd89-3f11-4782-9b50-97c468b19529","Black"
"2.49","Uber","1544812509357","Back Bay","South Station","25","1","118a8165-c787-4761-89e5-a17aa5710c75","6c84fd89-3f11-4782-9b50-97c468b19529","Black"
"2.49","Uber","1544952912418","Back Bay","South Station","12","1","14fd1233-8cea-4061-a66a-9a5ecec07f66","55c66225-fbe7-4fd5-9072-eab1ece5e23e","UberX"
"2.49","Uber","1545102903559","Back Bay","South Station","12","1","2a98223c-db41-4d28-9f8a-f26775b12fd4","9a0e7b09-b92b-4c41-9779-2ad22b4d779d","WAV"
"2.49","Uber","1543440907964","Back Bay","South Station","18.5","1","3a2929f1-2310-4c96-8eeb-ca2ed3ad9915","6f72dfc5-27f1-42e8-84db-ccc7a75f6969","UberXL"
"2.49","Uber","1543443967576","Back Bay","South Station","NULL","1","42dd31b8-d488-4de6-8dd1-544d6f943149","8cf7e821-f0d3-49c6-8eba-e679c0ebcf6a","Taxi"
"2.49","Uber","1543321642195","Back Bay","South Station","32.5","1","c1463da2-43e9-4e83-a52f-eb4fbe9d85e6","6d318bcc-22a3-4af6-bddd-b409bfce1546","Black SUV"
"2.49","Uber","1543860176100","Back Bay","South Station","11","1","e5face72-4e1e-499e-89db-6a136e11f7f5","997acbb5-e102-41e1-b155-9df7de0a73f2","UberPool"
"3.07","Uber","1543658284716","North Station","Fenway","27","1","08a28a48-eec5-43f8-b81d-bc2f57fc7f9a","6c84fd89-3f11-4782-9b50-97c468b19529","Black"
"3.07","Uber","1543458860117","North Station","Fenway","12","1","1f384d44-39fa-4537-b6a9-e97c0420fc48","55c66225-fbe7-4fd5-9072-eab1ece5e23e","UberX"
"3.07","Uber","1543824176271","North Station","Fenway","18.5","1","408076ed-a826-4fb3-a602-f9940df0ae50","6f72dfc5-27f1-42e8-84db-ccc7a75f6969","UberXL"
"3.07","Uber","1543336943649","North Station","Fenway","NULL","1","4b22b1b6-5d22-476c-bcf9-571afb6b5a4b","8cf7e821-f0d3-49c6-8eba-e679c0ebcf6a","Taxi"
"3.07","Uber","1543883878694","North Station","Fenway","12","1","6fad93ae-e127-4e63-92e8-aca70075a4ae","9a0e7b09-b92b-4c41-9779-2ad22b4d779d","WAV"
"3.07","Uber","1545126008048","North Station","Fenway","8.5","1","c8e81408-c663-41b0-97d8-01de32dddefd","997acbb5-e102-41e1-b155-9df7de0a73f2","UberPool"
"3.07","Uber","1544841003919","North Station","Fenway","35","1","f5f46cb2-dc51-4ed7-bd0e-14469d2da879","6d318bcc-22a3-4af6-bddd-b409bfce1546","Black SUV"
"1.57","Uber","1543243809625","North End","Theatre District","8","1","8cfbdbf9-4aa0-453b-ae4e-2fd9b4a90ffa","9a0e7b09-b92b-4c41-9779-2ad22b4d779d","WAV"
"1.57","Uber","1544711408474","North End","Theatre District","NULL","1","974fd7df-31d1-4f61-9aad-5c3b853a4368","8cf7e821-f0d3-49c6-8eba-e679c0ebcf6a","Taxi"
"1.57","Uber","1544409662798","North End","Theatre District","13","1","a385d39d-6add-45e7-8144-d208173f5528","6f72dfc5-27f1-42e8-84db-ccc7a75f6969","UberXL"
"1.57","Uber","1543734183117","North End","Theatre District","8","1","a9448a0b-977b-47c4-b886-b9ff39e6983c","997acbb5-e102-41e1-b155-9df7de0a73f2","UberPool"
"1.57","Uber","1543873079177","North End","Theatre District","27","1","ae1e0b34-e9aa-4d7f-9b5f-228d966cb911","6d318bcc-22a3-4af6-bddd-b409bfce1546","Black SUV"
"1.57","Uber","1543805278271","North End","Theatre District","17","1","ca00c0ed-bc14-4558-af18-5be6001f14e2","6c84fd89-3f11-4782-9b50-97c468b19529","Black"
"1.57","Uber","1544682006887","North End","Theatre District","8","1","ff9d06a6-3ac8-4692-b154-1fd97fb0ac93","55c66225-fbe7-4fd5-9072-eab1ece5e23e","UberX"
"3.2","Uber","1543777077631","Northeastern University","West End","13.5","1","00dc269c-2990-402b-b834-9fe0cede0bae","997acbb5-e102-41e1-b155-9df7de0a73f2","UberPool"
"3.2","Uber","1544730311763","Northeastern University","West End","23.5","1","17fc2426-4a0c-4305-bc55-a2d4e08417da","6c84fd89-3f11-4782-9b50-97c468b19529","Black"
"3.2","Uber","1543655883575","Northeastern University","West End","14","1","68589ddd-984f-4cda-adce-b69ed39695d8","9a0e7b09-b92b-4c41-9779-2ad22b4d779d","WAV"
"3.2","Uber","1543508885573","Northeastern University","West End","34","1","95f75de8-f788-4d4e-991d-771c73720a4c","6d318bcc-22a3-4af6-bddd-b409bfce1546","Black SUV"
"3.2","Uber","1543437308356","Northeastern University","West End","26.5","1","b54ea4d2-96e6-4ac3-ae04-6f55d2199dec","6f72dfc5-27f1-42e8-84db-ccc7a75f6969","UberXL"
"3.2","Uber","1545034211003","Northeastern University","West End","14","1","b85bee69-de7b-443f-aff5-c98a1e48ebed","55c66225-fbe7-4fd5-9072-eab1ece5e23e","UberX"
"3.2","Uber","1543281863593","Northeastern University","West End","NULL","1","e36f3312-05fc-4ba0-8a33-84ddc108643b","8cf7e821-f0d3-49c6-8eba-e679c0ebcf6a","Taxi"
"3.61","Uber","1544975706996","Back Bay","North End","26.5","1","174e8ad4-163e-4a6a-94e9-502df39fbc20","6c84fd89-3f11-4782-9b50-97c468b19529","Black"
"3.61","Uber","1543796886448","Back Bay","North End","12","1","2c692c6d-0b72-4987-bac5-7be5f0833267","55c66225-fbe7-4fd5-9072-eab1ece5e23e","UberX"
"3.61","Uber","1543405886396","Back Bay","North End","11","1","2de5725b-55ea-4d90-9a1d-5bc113bb047b","997acbb5-e102-41e1-b155-9df7de0a73f2","UberPool"
"3.61","Uber","1543411388309","Back Bay","North End","19.5","1","5de2313d-3772-4f3e-95be-6b518d21ccf1","6f72dfc5-27f1-42e8-84db-ccc7a75f6969","UberXL"
"3.61","Uber","1543664582720","Back Bay","North End","12","1","8f56fb33-f2e3-4571-94a4-2e429eb077b6","9a0e7b09-b92b-4c41-9779-2ad22b4d779d","WAV"
"3.61","Uber","1543318763658","Back Bay","North End","38.5","1","9246e691-25f1-4642-a51e-8021b01760c5","6d318bcc-22a3-4af6-bddd-b409bfce1546","Black SUV"
"3.61","Uber","1543417148057","Back Bay","North End","NULL","1","e34c8f86-cf63-4904-a87b-476d5041eda9","8cf7e821-f0d3-49c6-8eba-e679c0ebcf6a","Taxi"
"3.05","Uber","1543849385018","Fenway","North Station","23","1","04727769-94b3-4c50-8cc2-71afd369d249","6c84fd89-3f11-4782-9b50-97c468b19529","Black"
"3.05","Uber","1543366282172","Fenway","North Station","30.5","1","0e3e2a8c-f22d-4958-bbf1-af5064d0bfcc","6d318bcc-22a3-4af6-bddd-b409bfce1546","Black SUV"
"3.05","Uber","1543423987919","Fenway","North Station","10.5","1","2b443af3-246f-4b12-956c-8025dced5b3d","55c66225-fbe7-4fd5-9072-eab1ece5e23e","UberX"
"3.05","Uber","1543668183159","Fenway","North Station","10.5","1","669bcc82-6f6b-4d0e-a0b7-8756c7e4da68","9a0e7b09-b92b-4c41-9779-2ad22b4d779d","WAV"
"3.05","Uber","1543691580080","Fenway","North Station","NULL","1","a40156d9-4564-4c86-9f2a-3490101fb123","8cf7e821-f0d3-49c6-8eba-e679c0ebcf6a","Taxi"
"3.05","Uber","1545156008342","Fenway","North Station","17.5","1","ad7238f1-0a0f-4c13-b671-d498b390d3b6","6f72dfc5-27f1-42e8-84db-ccc7a75f6969","UberXL"
"3.05","Uber","1543233909659","Fenway","North Station","10","1","cb398c74-4965-4dd8-af0f-381fd5e74daa","997acbb5-e102-41e1-b155-9df7de0a73f2","UberPool"
"2.32","Uber","1545114613808","North End","Back Bay","14","1","0cd01858-da20-49ce-b079-d0a27f225c9b","6f72dfc5-27f1-42e8-84db-ccc7a75f6969","UberXL"
"2.32","Uber","1543637877760","North End","Back Bay","20.5","1","10436f60-110d-4ffc-b261-e3ed262aec75","6c84fd89-3f11-4782-9b50-97c468b19529","Black"
"2.32","Uber","1545134109377","North End","Back Bay","9.5","1","1609c275-bacc-4d6a-be79-1ce48dff3c01","9a0e7b09-b92b-4c41-9779-2ad22b4d779d","WAV"
"2.32","Uber","1545072610662","North End","Back Bay","9.5","1","88c309eb-4f98-4410-bf60-2d2f1113abe2","55c66225-fbe7-4fd5-9072-eab1ece5e23e","UberX"
"2.32","Uber","1544879109323","North End","Back Bay","8.5","1","dcb17cf8-5aa4-4ee0-ad3d-8eebd78cfea3","997acbb5-e102-41e1-b155-9df7de0a73f2","UberPool"
"2.32","Uber","1545046211951","North End","Back Bay","NULL","1","f11cb3b2-6675-4833-bd59-ee1c61715881","8cf7e821-f0d3-49c6-8eba-e679c0ebcf6a","Taxi"
"4.43","Uber","1543434068391","Financial District","Fenway","11","1","56f817da-4fd0-4b6c-8e28-bde9789c1e45","997acbb5-e102-41e1-b155-9df7de0a73f2","UberPool"
"4.43","Uber","1543327222288","Financial District","Fenway","NULL","1","5f67844a-1cf5-48c7-afb8-dcf16cbc8310","8cf7e821-f0d3-49c6-8eba-e679c0ebcf6a","Taxi"
"4.43","Uber","1543892876087","Financial District","Fenway","36.5","1","8e46fa0e-6af8-46c3-a397-e3d1202f7234","6d318bcc-22a3-4af6-bddd-b409bfce1546","Black SUV"
"4.43","Uber","1543326142541","Financial District","Fenway","20.5","1","91aca6a9-d049-4e9e-a1ff-6fcdb09df24c","6f72dfc5-27f1-42e8-84db-ccc7a75f6969","UberXL"
"4.43","Uber","1543210587826","Financial District","Fenway","12.5","1","9f2a2774-9951-4b77-8320-bbb1e7c0e0d6","55c66225-fbe7-4fd5-9072-eab1ece5e23e","UberX"
"4.43","Uber","1543457648155","Financial District","Fenway","12.5","1","a2ecc5c0-80ac-44e5-8979-04e386cd2a14","9a0e7b09-b92b-4c41-9779-2ad22b4d779d","WAV"
"4.43","Uber","1543513683004","Financial District","Fenway","27","1","b4b7b524-aead-49e4-a93e-9c792fcf4203","6c84fd89-3f11-4782-9b50-97c468b19529","Black"
"2.84","Uber","1543559281472","Fenway","West End","11","1","00ffaa21-d3ce-40f6-bf8f-67eb843fca97","55c66225-fbe7-4fd5-9072-eab1ece5e23e","UberX"
"2.84","Uber","1544685003512","Fenway","West End","NULL","1","2f942312-92c8-499b-91f0-20e6bd75fcc8","8cf7e821-f0d3-49c6-8eba-e679c0ebcf6a","Taxi"
"2.84","Uber","1543717383819","Fenway","West End","33.5","1","456b9321-925e-4b3e-8696-55d6230afc44","6d318bcc-22a3-4af6-bddd-b409bfce1546","Black SUV"
"2.84","Uber","1543425384616","Fenway","West End","23","1","80a4247c-0c0f-4962-a8a6-33039e80baf9","6c84fd89-3f11-4782-9b50-97c468b19529","Black"
"2.84","Uber","1543403287718","Fenway","West End","11","1","8549feff-78ca-4861-b140-55a9a9b80af6","9a0e7b09-b92b-4c41-9779-2ad22b4d779d","WAV"
"2.84","Uber","1543631580728","Fenway","West End","9.5","1","c44669ec-ed1c-4bbe-9a1a-5ea9d9aa1919","997acbb5-e102-41e1-b155-9df7de0a73f2","UberPool"
"2.84","Uber","1544810411713","Fenway","West End","17.5","1","d9f75f28-f115-4c5a-845c-a92c97362954","6f72dfc5-27f1-42e8-84db-ccc7a75f6969","UberXL"
"1.3","Uber","1543466101752","Theatre District","South Station","NULL","1","24e94a16-2d9b-4e4c-84c6-daf63f0486ca","8cf7e821-f0d3-49c6-8eba-e679c0ebcf6a","Taxi"
"1.81","Uber","1543542482221","Theatre District","North End","29.5","1","2a3cc2d4-be1d-43a5-a0bc-4694f6174856","6d318bcc-22a3-4af6-bddd-b409bfce1546","Black SUV"
"1.3","Uber","1543416608077","Theatre District","South Station","9.5","1","3750bc55-d7e0-4570-8769-e91e69bd6879","9a0e7b09-b92b-4c41-9779-2ad22b4d779d","WAV"
"1.81","Uber","1543435147917","Theatre District","North End","15","1","5ad26487-dbb2-472c-a141-30d59ddb9b72","6f72dfc5-27f1-42e8-84db-ccc7a75f6969","UberXL"
"1.81","Uber","1543456795165","Theatre District","North End","NULL","1","6c2dec25-7912-4ca1-a0fa-99c148cef8a3","8cf7e821-f0d3-49c6-8eba-e679c0ebcf6a","Taxi"
"1.3","Uber","1543875779838","Theatre District","South Station","27","1","7eae79ec-6a4a-4a36-9eb4-1e95860493d1","6d318bcc-22a3-4af6-bddd-b409bfce1546","Black SUV"
"1.81","Uber","1543711677547","Theatre District","North End","19.5","1","8b37f02d-9406-4980-b1bd-5a17ecf08985","6c84fd89-3f11-4782-9b50-97c468b19529","Black"
"1.3","Uber","1543420285198","Theatre District","South Station","17.5","1","90503e0c-7f58-46ba-8353-67fe00fe4c2e","6c84fd89-3f11-4782-9b50-97c468b19529","Black"
"1.81","Uber","1543630271407","Theatre District","North End","10","1","9761f55e-9ad2-4df9-b5d3-bcae8666eb24","997acbb5-e102-41e1-b155-9df7de0a73f2","UberPool"
"1.3","Uber","1544793908416","Theatre District","South Station","14","1","ca2c2c86-bc3b-43c5-9d00-1facab7c439f","6f72dfc5-27f1-42e8-84db-ccc7a75f6969","UberXL"
"1.81","Uber","1543432987866","Theatre District","North End","10.5","1","cbe688fa-4802-42a3-98bb-579e914d21fe","55c66225-fbe7-4fd5-9072-eab1ece5e23e","UberX"
"1.81","Uber","1543614487465","Theatre District","North End","10.5","1","d78aa5c3-6766-45a6-ab08-29a3975cd58f","9a0e7b09-b92b-4c41-9779-2ad22b4d779d","WAV"
"1.3","Uber","1545013505471","Theatre District","South Station","9.5","1","f77944e3-c2c0-4dce-bc44-0829b876c99a","55c66225-fbe7-4fd5-9072-eab1ece5e23e","UberX"
"2.59","Uber","1543710178854","Beacon Hill","Northeastern University","15","1","362a3b01-e16d-4d4b-aef9-28c0d9986468","9a0e7b09-b92b-4c41-9779-2ad22b4d779d","WAV"
"2.59","Uber","1545076214526","Beacon Hill","Northeastern University","11","1","64b25bd3-0d02-4b74-a1b3-87122b146117","997acbb5-e102-41e1-b155-9df7de0a73f2","UberPool"
"2.59","Uber","1543342161995","Beacon Hill","Northeastern University","NULL","1","7044955a-f7a3-4304-87e3-3ee5e3831cbf","8cf7e821-f0d3-49c6-8eba-e679c0ebcf6a","Taxi"
"2.59","Uber","1544791509576","Beacon Hill","Northeastern University","21.5","1","819daf9d-bc12-4a3a-a6db-fbb655e3dd2e","6c84fd89-3f11-4782-9b50-97c468b19529","Black"
"2.59","Uber","1543809182480","Beacon Hill","Northeastern University","15","1","9714c324-f07a-45a8-82bb-2d411189ca42","55c66225-fbe7-4fd5-9072-eab1ece5e23e","UberX"
"2.59","Uber","1543588680871","Beacon Hill","Northeastern University","23.5","1","b20829b7-7020-48ce-ab21-36f4f37f3cc7","6f72dfc5-27f1-42e8-84db-ccc7a75f6969","UberXL"
"2.59","Uber","1543774081570","Beacon Hill","Northeastern University","35","1","fe0c35f5-ec15-4462-aea3-9d4dc67e5417","6d318bcc-22a3-4af6-bddd-b409bfce1546","Black SUV"
"2.66","Uber","1545144003677","Fenway","Theatre District","8.5","1","087b6d2b-f3ca-4b3e-8ac7-39fb66eecf84","997acbb5-e102-41e1-b155-9df7de0a73f2","UberPool"
"2.66","Uber","1545111303458","Fenway","Theatre District","18","1","32406515-ef55-4177-9f17-87079e80d16f","6f72dfc5-27f1-42e8-84db-ccc7a75f6969","UberXL"
"2.66","Uber","1543292483489","Fenway","Theatre District","10.5","1","50395c26-19a2-4811-a09d-e4dc2296fc6c","9a0e7b09-b92b-4c41-9779-2ad22b4d779d","WAV"
"2.66","Uber","1543894081999","Fenway","Theatre District","23","1","52c830f8-5056-4984-83ae-30474f75a0ef","6c84fd89-3f11-4782-9b50-97c468b19529","Black"
"2.66","Uber","1543356923877","Fenway","Theatre District","NULL","1","6bf68853-be5d-4ef3-ae89-be62f8fbd8e7","8cf7e821-f0d3-49c6-8eba-e679c0ebcf6a","Taxi"
"2.66","Uber","1543290862184","Fenway","Theatre District","33","1","a06f847d-79cf-4c89-a570-32c97835a011","6d318bcc-22a3-4af6-bddd-b409bfce1546","Black SUV"
"2.66","Uber","1545009011010","Fenway","Theatre District","10.5","1","ecc0338e-4cde-4e67-9114-671ab97544ba","55c66225-fbe7-4fd5-9072-eab1ece5e23e","UberX"
"3.26","Uber","1543867978363","North Station","Northeastern University","10.5","1","1e89a2cc-dd22-40be-bdb5-d8003ff8c76f","9a0e7b09-b92b-4c41-9779-2ad22b4d779d","WAV"
"3.26","Uber","1543431386190","North Station","Northeastern University","32","1","6a9970a9-6282-4875-b631-e1086f902e65","6d318bcc-22a3-4af6-bddd-b409bfce1546","Black SUV"
"3.26","Uber","1545036905196","North Station","Northeastern University","23","1","b4a097c3-d176-4380-9dcc-f15e695eeae5","6c84fd89-3f11-4782-9b50-97c468b19529","Black"
"3.26","Uber","1543417148250","North Station","Northeastern University","10.5","1","db3456a2-b210-420c-ab31-25db5652d6b6","55c66225-fbe7-4fd5-9072-eab1ece5e23e","UberX"
"2.81","Uber","1543457207644","Theatre District","Northeastern University","9.5","1","1420e1a0-20c7-4ea2-9990-e62c134ee506","9a0e7b09-b92b-4c41-9779-2ad22b4d779d","WAV"
"2.81","Uber","1543875180526","Theatre District","Northeastern University","21.5","1","26838f2a-bdb0-4754-90fe-cc4f869ac060","6c84fd89-3f11-4782-9b50-97c468b19529","Black"
"2.81","Uber","1545129316441","Theatre District","Northeastern University","9.5","1","3830a2a4-6178-4699-959d-f8fed3787613","997acbb5-e102-41e1-b155-9df7de0a73f2","UberPool"
"2.81","Uber","1545010808185","Theatre District","Northeastern University","30.5","1","5a870308-1339-436a-a498-94505c27e4a3","6d318bcc-22a3-4af6-bddd-b409bfce1546","Black SUV"
"2.81","Uber","1543804376231","Theatre District","Northeastern University","17","1","9d0a37a2-8212-4dba-9041-340ddbb52a64","6f72dfc5-27f1-42e8-84db-ccc7a75f6969","UberXL"
"2.81","Uber","1543398215864","Theatre District","Northeastern University","NULL","1","d26ad498-f7ea-45ae-ae72-3e0c67f8b90e","8cf7e821-f0d3-49c6-8eba-e679c0ebcf6a","Taxi"
"2.81","Uber","1543661880714","Theatre District","Northeastern University","9.5","1","ea3331b6-3978-4760-af96-2d8a1d9a9f6c","55c66225-fbe7-4fd5-9072-eab1ece5e23e","UberX"
"1.4","Uber","1543258029747","Boston University","Back Bay","7.5","1","05e0d530-3b4c-4e39-8710-4ab1c6e482a9","9a0e7b09-b92b-4c41-9779-2ad22b4d779d","WAV"
"1.4","Uber","1545098110455","Boston University","Back Bay","7.5","1","0b50bd4f-188d-430a-b934-cfad0bc27199","55c66225-fbe7-4fd5-9072-eab1ece5e23e","UberX"
"1.4","Uber","1544407719522","Boston University","Back Bay","6.5","1","0d64bd34-4fcf-4a38-91e8-3d3a0230f64f","997acbb5-e102-41e1-b155-9df7de0a73f2","UberPool"
"1.4","Uber","1543451347631","Boston University","Back Bay","26.5","1","54d8c73f-b50f-4ea2-be4d-4271386c5aef","6d318bcc-22a3-4af6-bddd-b409bfce1546","Black SUV"
"1.4","Uber","1545120612049","Boston University","Back Bay","NULL","1","791f4509-2f71-4307-b958-f78bd292332d","8cf7e821-f0d3-49c6-8eba-e679c0ebcf6a","Taxi"
"1.4","Uber","1545000010297","Boston University","Back Bay","11.5","1","87b795a4-bd29-4f16-bda8-7acae4157d55","6f72dfc5-27f1-42e8-84db-ccc7a75f6969","UberXL"
"1.4","Uber","1543450447852","Boston University","Back Bay","17","1","90539478-06b1-453a-bb9b-dfa6ab3eb606","6c84fd89-3f11-4782-9b50-97c468b19529","Black"
"2.63","Uber","1543843979892","Beacon Hill","Northeastern University","NULL","1","0b66e22d-e78d-462d-8f5f-fce8d35a5c1e","8cf7e821-f0d3-49c6-8eba-e679c0ebcf6a","Taxi"
